Feature,F_score,p_value
Fabricante_RENAULT,1.0577178489676886,0.3037663865808891
Radio_AM_FM_AM/FM,0.9556417348895689,0.32831602032945706
Historico_troca_oleo,0.9077485715204953,0.34074037778224464
Fabricante_PEUGEOT,0.8796250677635661,0.3483318162067114
Cor_Rosa,0.8685854056588874,0.3513744686034528
Cor_Branco,0.8406423483018414,0.3592398949680754
Fabricante_MOSKVICH,0.8104963744071148,0.36799978737241457
Cor_Bege,0.7338790050696427,0.39165358919027626
Fabricante_UAZ,0.6870552304259386,0.407191769464894
Categoria_Cupê,0.6053704910424309,0.43655853399527944
Fabricante_GMC,0.5987260554635484,0.43908665401838276
Cor_Marrom,0.5724218311989034,0.44931972784119245
Fabricante_KIA,0.5237155389762137,0.4692815240203977
Fabricante_CADILLAC,0.5143867403596606,0.4732662937568065
Fabricante_BUICK,0.4712834653385039,0.49241657901485714
Fabricante_AUDI,0.4363859052758979,0.5088904272004692
Fabricante_ZAZ,0.35415199936007624,0.5517884462723612
Fabricante_ROVER,0.3104740748671805,0.5774045193274451
Cor_Dourado,0.3097236926335524,0.577864866472011
Dias_desde_ultima_lavagem,0.2882628802927328,0.5913503364535622
Fabricante_ALFA ROMEO,0.281609465121419,0.5956625199116866
Tração_Traseira,0.27190510808937524,0.6020706452445128
Fabricante_GAZ,0.23430136865694468,0.6283654431760496
Fabricante_ISUZU,0.2264075399568822,0.6342130583752004
Fabricante_MASERATI,0.22064923624130772,0.6385580790831733
Fabricante_VOLVO,0.20033450697422478,0.6544627157934322
Fabricante_SEAT,0.19806380997034037,0.6562999059696273
Radio_AM_FM_FM,0.18892580224869177,0.663823526533996
Fabricante_CITROEN,0.17228173432704771,0.6781026505016323
Fabricante_MERCURY,0.15530962195144393,0.6935222450475321
Cor_Laranja,0.15048923766461011,0.6980782608078443
Fabricante_SAAB,0.1396868010337835,0.7086021665996389
Fabricante_LINCOLN,0.0968262708477831,0.7556798499221494
Fabricante_MINI,0.060993586395629414,0.8049385114463932
Portas_4-5,0.05132575473051547,0.8207778195140065
Fabricante_INFINITI,0.05020985522635152,0.8227040542331172
Fabricante_LANCIA,0.042979435440849804,0.8357691104327566
Categoria_Limousine,0.017289644139169596,0.8953908272218788
Fabricante_SCION,0.014700420990679988,0.9034996999175098
Combustivel_Gasolina,0.012590339775065575,0.9106622570091836
Fabricante_SKODA,0.010990669064999434,0.9165081783592454
Fabricante_HAVAL,0.010070867360621754,0.920065953075763
Fabricante_სხვა,0.0005875538888380586,0.9806621478454302
